DATE,RAINFALL
2016-01-31,35.15349
2016-02-29,83.736115
2016-03-31,176.86057
2016-04-30,303.76608
2016-05-31,416.85876
2016-06-30,534.41943
2016-07-31,503.23532
2016-08-31,465.20752
2016-09-30,287.8998
2016-10-31,136.9605
2016-11-30,74.992035
2016-12-31,52.13188
2017-01-31,71.356575
2017-02-28,133.87563
2017-03-31,231.29362
2017-04-30,348.0204
2017-05-31,455.57593
2017-06-30,519.00146
2017-07-31,495.54645
2017-08-31,403.52655
2017-09-30,265.1932
2017-10-31,154.57822
2017-11-30,95.30083
2017-12-31,81.36862
2018-01-31,110.61204
2018-02-28,176.97395
2018-03-31,270.62372
2018-04-30,374.65195
2018-05-31,461.20477
2018-06-30,496.65674
2018-07-31,459.30496
2018-08-31,363.49158
2018-09-30,249.07547
2018-10-31,160.19319
2018-11-30,113.83333
2018-12-31,110.30014
2019-01-31,145.21326
2019-02-28,211.4455
2019-03-31,298.27048
2019-04-30,387.7012
2019-05-31,453.33313
2019-06-30,468.14124
2019-07-31,421.54764
2019-08-31,331.97482
2019-09-30,236.02
2019-10-31,165.00003
2019-11-30,131.70067
2019-12-31,136.48346
2020-01-31,174.66882
2020-02-29,238.83112
2020-03-31,317.35944
2020-04-30,391.9802
2020-05-31,439.02383
2020-06-30,438.43326
2020-07-31,387.56897
2020-08-31,306.684
2020-09-30,226.63234
2020-10-31,170.83408
2020-11-30,148.63292
2020-12-31,159.82816
