DATE,RAINFALL
2016-01-31,18.80829
2016-02-29,43.97216
2016-03-31,118.59456
2016-04-30,244.40103
2016-05-31,366.9748
2016-06-30,482.63004
2016-07-31,473.0289
2016-08-31,472.41562
2016-09-30,260.55856
2016-10-31,129.17557
2016-11-30,71.14983
2016-12-31,38.468475
2017-01-31,30.004698
2017-02-28,58.505634
2017-03-31,128.54535
2017-04-30,232.13536
2017-05-31,349.97427
2017-06-30,453.08493
2017-07-31,482.16837
2017-08-31,423.721
2017-09-30,275.18158
2017-10-31,168.39455
2017-11-30,99.67381
2017-12-31,56.77186
2018-01-31,44.752945
2018-02-28,69.411026
2018-03-31,130.86436
2018-04-30,222.54825
2018-05-31,330.16248
2018-06-30,425.25253
2018-07-31,460.1131
2018-08-31,405.2758
2018-09-30,291.66125
2018-10-31,193.28824
2018-11-30,120.5271
2018-12-31,74.62039
2019-01-31,59.882076
2019-02-28,79.394104
2019-03-31,132.74535
2019-04-30,214.36473
2019-05-31,311.48734
2019-06-30,398.83612
2019-07-31,436.40897
2019-08-31,396.18936
2019-09-30,303.88998
2019-10-31,211.56866
2019-11-30,138.70596
2019-12-31,91.70383
2020-01-31,74.257286
2020-02-29,88.63996
2020-03-31,134.53008
2020-04-30,207.03458
2020-05-31,294.6347
2020-06-30,375.2845
2020-07-31,415.26337
2020-08-31,388.87283
2020-09-30,312.2082
2020-10-31,226.42363
2020-11-30,155.23868
2020-12-31,107.696526
