ds,yhat
1916-01-01,153.24916843520882
1916-02-01,196.42804031551992
1916-03-01,271.97945369323764
1916-04-01,354.63834512337934
1916-05-01,483.7798264584459
1916-06-01,740.4068483166227
1916-08-01,616.2825626139847
1916-09-01,530.7442372533296
1917-01-01,156.42922177439712
1917-02-01,200.80805024879325
1917-04-01,364.59719072075893
1917-05-01,470.6738801872483
1917-06-01,749.1923279175699
1917-07-01,805.8526714545876
1917-08-01,605.8686260005911
1917-09-01,535.3175677590773
1917-10-01,298.8225392134298
1917-11-01,143.73527504199603
1917-12-01,132.2604090854926
1918-01-01,152.9868260297072
1918-02-01,196.9383178194321
1918-03-01,256.634195324986
1918-04-01,374.5565221645448
1918-05-01,457.56757903779294
1918-06-01,757.9048844917904
1918-07-01,797.2539371649563
1918-08-01,595.6471290718023
1918-09-01,540.1124478536253
1918-10-01,304.59051258129904
1918-11-01,141.4196427853847
1918-12-01,130.36837479332013
1919-01-01,149.49564387409075
1919-02-01,193.04668711101507
1919-03-01,249.25478450315086
1919-04-01,384.5051271833113
1919-05-01,444.46531818994583
1919-06-01,766.5346952992206
1919-07-01,788.396681051008
1919-08-01,585.6296939194012
1919-09-01,545.1238993238246
1919-10-01,310.31546957799026
1919-11-01,139.0107909699653
1919-12-01,128.41993560680334
1920-01-01,145.95823999072297
1920-02-01,189.13711167555294
1920-03-01,264.68852487052027
1920-04-01,347.3474161052907
1920-05-01,476.4888972512196
1920-06-01,733.1159189141215
1920-07-01,806.8929565810604
1920-08-01,608.9916328269021
1920-09-01,523.4533072709605
1920-10-01,285.7288027648858
1920-11-01,138.66760626174448
1920-12-01,126.80439051922161
1921-01-01,149.13829102308833
1921-02-01,193.51711930212252
1921-03-01,256.9190840529489
1921-04-01,357.3062594022091
1921-05-01,463.3829486796082
1921-06-01,741.9013962145671
1921-07-01,798.5617395624203
1921-08-01,598.5776939130352
1921-09-01,528.0266354761195
1921-10-01,291.5316067414577
1921-11-01,136.44434237453333
1921-12-01,124.96947622903878
1922-01-01,145.69589297785583
1922-02-01,189.64738457221011
1922-03-01,249.34326190131492
1922-04-01,367.2655885454859
1922-05-01,450.27664522967405
1922-06-01,750.6139504882201
1922-07-01,789.9630029722919
1922-08-01,588.3561946838387
1922-09-01,532.8215132602841
1922-10-01,297.2995777891936
1922-11-01,134.12870778787615
1922-12-01,123.07743959711325
1923-01-01,142.20470847246102
1923-02-01,185.75575150406434
1923-03-01,241.96384871069992
1923-04-01,377.2141911854799
1923-05-01,437.1743819934362
1923-06-01,759.2437588973952
1923-07-01,781.1057444503529
1923-08-01,578.3387573088968
1923-09-01,537.8329627032119
1923-10-01,303.0245329478623
1923-11-01,131.71985432984783
1923-12-01,121.12899895699564
1924-01-01,138.6673033309379
1924-02-01,181.84617500578227
1924-03-01,257.39758819137586
1924-04-01,340.0564794162087
1924-05-01,469.1979605525665
1924-06-01,725.8249822054107
1924-07-01,799.6020198627307
1924-08-01,601.7006960986348
1924-09-01,516.1623705326593
1924-10-01,278.437866016924
1924-11-01,131.3766695038495
1924-12-01,119.51345375167881
1925-01-01,141.84735424559025
1925-02-01,186.22618251459326
1925-03-01,249.62814725642397
1925-04-01,350.015322595705
1925-05-01,456.0920118634293
1925-06-01,734.6104593884436
1925-07-01,791.2708027266696
1925-08-01,591.2867570673228
1925-09-01,520.735698511494
1925-10-01,284.24066966182016
1925-11-01,129.1534051762017
1925-12-01,117.67853891563914
1926-01-01,138.4049555455984
1926-02-01,182.356447021058
1926-03-01,242.0523242428528
1926-04-01,359.97465076818514
1926-05-01,442.9857073373302
1926-06-01,743.3230124770876
1926-07-01,782.6720648461571
1926-08-01,581.0652564388471
1926-09-01,525.5305749063657
1926-10-01,290.0086393299464
1926-11-01,126.83776921979896
1926-12-01,115.78650092363762
1927-01-01,134.913769690145
1927-02-01,178.46481261292104
1927-03-01,234.6729097211501
1927-04-01,369.9232520871795
1927-05-01,429.88344278963115
1927-06-01,751.9528195847606
1927-07-01,773.8148050324135
1927-08-01,571.0478177820662
1927-09-01,530.5420230675297
1927-10-01,295.73359320666776
1927-11-01,124.42891447989288
1927-12-01,113.83805900174025
1928-01-01,131.37636326676986
1928-02-01,174.55523483277045
1928-03-01,250.1066479165229
1928-04-01,332.76553903249567
1928-05-01,461.9070200635216
1928-06-01,718.5340416074854
1928-07-01,792.3110791594186
1928-08-01,594.4097552864258
1928-09-01,508.8714296116252
1928-10-01,271.14602194498724
1928-11-01,124.08389217596007
1928-12-01,112.21977327291205
1929-01-01,134.55274051090973
1929-02-01,178.9306355240495
1929-03-01,242.3317573250554
1929-04-01,342.7179994083805
1929-05-01,448.79378552520564
1929-06-01,727.3112997942706
1929-07-01,783.9707399815857
1929-08-01,583.9857610663227
1929-09-01,513.4337693635489
1929-10-01,276.93783746829
1929-11-01,121.84963983554726
1929-12-01,110.3738705295122
1930-01-01,131.099354012403
1930-02-01,175.04991234084957
1930-03-01,234.74494672011392
1930-04-01,352.66634009840413
1930-05-01,435.6764936220132
1930-06-01,736.0128656147414
1930-07-01,775.3610149382391
1930-08-01,573.7532733838252
1930-09-01,518.2176587043912
1930-10-01,282.69482008247735
1930-11-01,119.52301682518276
1930-12-01,108.47084548355798
1931-01-01,127.59718110298064
1931-02-01,171.14729087872146
1931-03-01,227.35454514449293
1931-04-01,362.60395436339417
1931-05-01,422.56324202032204
1931-06-01,744.63168566837
1931-07-01,766.4927680704819
1931-08-01,563.7248476730907
1931-09-01,523.2181198115195
1931-10-01,288.4087869052151
1931-11-01,117.09970089630366
1931-12-01,106.50458030649628
1932-01-01,124.03847728938916
1932-02-01,167.21294157332684
1932-03-01,242.76023171577097
1932-04-01,325.4147155496689
1932-05-01,454.55193146902116
1932-06-01,711.1745457309069
1932-07-01,784.9473181712053
1932-08-01,587.0415870161052
1932-09-01,501.49885405925636
1932-10-01,263.7700843265225
1932-11-01,116.70448042239181
1932-12-01,104.8369994531937
1933-01-01,127.1664925561384
1933-02-01,171.54091343420976
1933-03-01,234.93889730687323
1933-04-01,335.3216652551509
1933-05-01,441.3940893058781
1933-06-01,719.9081294398918
1933-07-01,776.5642075610839
1933-08-01,576.5757545107933
1933-09-01,506.0202886729832
1933-10-01,269.5209947115862
1933-11-01,114.42932294384008
1933-12-01,102.95019157159032
1934-01-01,123.67220091951685
1934-02-01,167.61928511291296
1934-03-01,227.31118156378207
1934-04-01,345.22910080707646
1934-05-01,428.2358922644805
1934-06-01,728.5687901221739
1934-07-01,767.9135773795376
1934-08-01,566.3023616901608
1934-09-01,510.7632728756313
1934-10-01,275.23707218753634
1934-11-01,112.06179479528151
1934-12-01,100.98896970434339
1935-01-01,120.09396311628515
1935-02-01,163.62273068432805
1935-03-01,219.81070811748882
1935-04-01,355.0387751288241
1935-05-01,414.97740903650555
1935-06-01,737.0245104770273
1935-07-01,758.864939129895
1935-08-01,556.0756765248661
1935-09-01,515.5476064557472
1935-10-01,280.7176198001899
1935-11-01,109.39066571873309
1935-12-01,98.7782534457532
1936-01-01,116.2942823561502
1936-02-01,159.45087856752792
1936-03-01,234.98145341630755
1936-04-01,317.6180691776807
1936-05-01,446.7379934138843
1936-06-01,703.3427396032216
1936-07-01,777.0982203603746
1936-08-01,579.1746211328153
1936-09-01,493.6140201033245
1936-10-01,255.86795868743218
1936-11-01,108.78448671082148
1936-12-01,96.89971405851128
1937-01-01,119.21133908890829
1937-02-01,163.5678918944619
1937-03-01,226.9497368628522
1937-04-01,327.31463673859315
1937-05-01,433.3697691061793
1937-06-01,711.8659411677176
1937-07-01,768.5047276057921
1937-08-01,568.4984064829342
1937-09-01,497.92507257253055
1937-10-01,261.4084869280808
1937-11-01,106.29894708779526
1937-12-01,94.80252403241298
1938-01-01,115.4695208667975
1938-02-01,159.36159254673305
1938-03-01,219.0038002756534
1938-04-01,336.866707005418
1938-05-01,419.82026054652295
1938-06-01,720.0981458907191
1938-07-01,759.3896952317377
1938-08-01,557.7234670287799
1938-09-01,502.12936570080444
1938-10-01,266.54992709641203
1938-11-01,103.31963719058683
1938-12-01,92.210865866495
1939-01-01,111.27871483740896
1939-02-01,154.7703379645777
1939-03-01,210.92476558000214
1939-04-01,346.1156881504181
1939-05-01,406.01837582482096
1939-06-01,728.0283328244476
1939-07-01,749.832815244075
