DATE,RAINFALL
2016-01-31,4.922712
2016-02-29,10.303145
2016-03-31,27.964872
2016-04-30,60.982334
2016-05-31,135.93512
2016-06-30,307.24133
2016-07-31,364.51337
2016-08-31,336.21826
2016-09-30,170.01999
2016-10-31,16.899687
2016-11-30,-4.1979737
2016-12-31,-0.61714524
2017-01-31,8.223061
2017-02-28,12.983762
2017-03-31,19.721035
2017-04-30,59.77347
2017-05-31,174.98174
2017-06-30,354.50885
2017-07-31,443.26373
2017-08-31,347.69507
2017-09-30,130.28961
2017-10-31,6.807765
2017-11-30,-8.373661
2017-12-31,1.7090926
2018-01-31,11.388669
2018-02-28,10.881732
2018-03-31,10.492134
2018-04-30,53.997684
2018-05-31,194.7667
2018-06-30,398.22958
2018-07-31,498.27133
2018-08-31,340.72177
2018-09-30,98.59099
2018-10-31,-2.345399
2018-11-30,-9.890392
2018-12-31,3.8018477
2019-01-31,12.6586685
2019-02-28,8.936048
2019-03-31,4.495441
2019-04-30,51.069355
2019-05-31,211.40656
2019-06-30,436.28024
2019-07-31,535.3032
2019-08-31,322.7313
2019-09-30,73.374374
2019-10-31,-9.029955
2019-11-30,-10.04431
2019-12-31,5.482102
2020-01-31,13.4305935
2020-02-29,7.4796476
2020-03-31,0.8053794
2020-04-30,51.80268
2020-05-31,228.57938
2020-06-30,468.72354
2020-07-31,557.7856
2020-08-31,297.79947
2020-09-30,53.361755
2020-10-31,-13.466428
2020-11-30,-9.3806505
2020-12-31,7.0224833
