DATE,RAINFALL
2016-01-31,0.61734205
2016-02-29,-1.7445439
2016-03-31,0.799823
2016-04-30,9.415016
2016-05-31,50.408287
2016-06-30,147.865
2016-07-31,240.6869
2016-08-31,143.25926
2016-09-30,36.03161
2016-10-31,1.6274843
2016-11-30,-8.236862
2016-12-31,-6.3542876
2017-01-31,-3.884378
2017-02-28,-4.8743663
2017-03-31,-4.3518696
2017-04-30,14.321188
2017-05-31,73.960236
2017-06-30,170.85452
2017-07-31,233.43106
2017-08-31,149.61165
2017-09-30,35.894287
2017-10-31,-8.557683
2017-11-30,-14.368681
2017-12-31,-7.4503045
2018-01-31,-3.5960186
2018-02-28,-5.7192264
2018-03-31,-5.598982
2018-04-30,18.544899
2018-05-31,88.52783
2018-06-30,187.04059
2018-07-31,239.26735
2018-08-31,149.2156
2018-09-30,25.760138
2018-10-31,-17.321283
2018-11-30,-15.701724
2018-12-31,-6.009111
2019-01-31,-2.852084
2019-02-28,-6.362503
2019-03-31,-5.99511
2019-04-30,22.93321
2019-05-31,100.70624
2019-06-30,201.49683
2019-07-31,245.9607
2019-08-31,139.98209
2019-09-30,12.737843
2019-10-31,-22.04346
2019-11-30,-14.491498
2019-12-31,-4.419298
2020-01-31,-2.5139878
2020-02-29,-7.0111384
2020-03-31,-5.6715364
2020-04-30,28.284239
2020-05-31,112.84486
2020-06-30,214.81111
2020-07-31,249.1762
2020-08-31,124.04858
2020-09-30,0.96114683
2020-10-31,-23.508945
2020-11-30,-12.581297
2020-12-31,-3.2231665
