DATE,RAINFALL
2016-01-31,16.463167
2016-02-29,16.439978
2016-03-31,36.85211
2016-04-30,55.064854
2016-05-31,100.6244
2016-06-30,182.03706
2016-07-31,220.6215
2016-08-31,152.32877
2016-09-30,39.69634
2016-10-31,11.116217
2016-11-30,-1.5046957
2016-12-31,-1.5354749
2017-01-31,1.4856588
2017-02-28,7.343084
2017-03-31,27.292303
2017-04-30,70.75732
2017-05-31,148.96094
2017-06-30,237.79916
2017-07-31,249.33328
2017-08-31,144.71062
2017-09-30,38.373005
2017-10-31,-0.25715554
2017-11-30,-10.627542
2017-12-31,-8.53963
2018-01-31,-5.5228024
2018-02-28,-0.57521266
2018-03-31,20.330572
2018-04-30,79.491684
2018-05-31,185.08209
2018-06-30,290.2686
2018-07-31,281.7183
2018-08-31,140.27621
2018-09-30,26.104048
2018-10-31,-13.928595
2018-11-30,-17.225569
2018-12-31,-10.794517
2019-01-31,-8.034264
2019-02-28,-6.237264
2019-03-31,14.270722
2019-04-30,85.5083
2019-05-31,216.12552
2019-06-30,341.02618
2019-07-31,313.06967
2019-08-31,130.72638
2019-09-30,9.30534
2019-10-31,-24.291805
2019-11-30,-18.948921
2019-12-31,-9.488788
2020-01-31,-8.20682
2020-02-29,-9.995434
2020-03-31,9.4765005
2020-04-30,90.21866
2020-05-31,241.68863
2020-06-30,384.29892
2020-07-31,335.7667
2020-08-31,114.98391
2020-09-30,-6.0766726
2020-10-31,-29.202427
2020-11-30,-17.184622
2020-12-31,-6.9034195
