DATE,RAINFALL
2016-01-31,-11.643399
2016-02-29,-3.698752
2016-03-31,23.865713
2016-04-30,77.97982
2016-05-31,161.88387
2016-06-30,304.86328
2016-07-31,435.56137
2016-08-31,301.92526
2016-09-30,166.81773
2016-10-31,50.37227
2016-11-30,4.342639
2016-12-31,-12.309325
2017-01-31,-15.204609
2017-02-28,0.76562786
2017-03-31,33.745434
2017-04-30,93.09851
2017-05-31,188.52707
2017-06-30,312.6154
2017-07-31,396.51404
2017-08-31,314.1649
2017-09-30,164.52258
2017-10-31,49.853207
2017-11-30,-0.984344
2017-12-31,-16.486181
2018-01-31,-12.304293
2018-02-28,5.941518
2018-03-31,40.155426
2018-04-30,101.04285
2018-05-31,197.24156
2018-06-30,315.2001
2018-07-31,386.81638
2018-08-31,312.68103
2018-09-30,157.24829
2018-10-31,45.157932
2018-11-30,-3.633383
2018-12-31,-15.842962
2019-01-31,-9.309833
2019-02-28,9.4555235
2019-03-31,44.4678
2019-04-30,106.669495
2019-05-31,203.50313
2019-06-30,318.7051
2019-07-31,382.8883
2019-08-31,305.1136
2019-09-30,148.36595
2019-10-31,40.85716
2019-11-30,-4.3894744
2019-12-31,-14.43289
2020-01-31,-7.093063
2020-02-29,12.135513
2020-03-31,48.228092
2020-04-30,112.00421
2020-05-31,209.7805
2020-06-30,322.84467
2020-07-31,379.63232
2020-08-31,295.1835
2020-09-30,139.61465
2020-10-31,37.388737
2020-11-30,-4.5774055
2020-12-31,-13.194989
