DATE,RAINFALL
2016-01-31,-7.306657
2016-02-29,-7.586276
2016-03-31,-0.3209278
2016-04-30,20.931475
2016-05-31,71.18415
2016-06-30,167.9416
2016-07-31,241.9611
2016-08-31,149.44792
2016-09-30,112.972534
2016-10-31,39.88456
2016-11-30,7.3521194
2016-12-31,-5.726535
2017-01-31,-8.534917
2017-02-28,-8.482888
2017-03-31,-5.4390717
2017-04-30,12.734925
2017-05-31,62.039326
2017-06-30,140.57597
2017-07-31,198.73695
2017-08-31,182.61342
2017-09-30,137.23215
2017-10-31,65.47168
2017-11-30,16.588531
2017-12-31,-4.154551
2018-01-31,-8.187149
2018-02-28,-8.171303
2018-03-31,-6.805888
2018-04-30,5.01828
2018-05-31,42.916176
2018-06-30,109.30301
2018-07-31,172.99905
2018-08-31,192.06322
2018-09-30,159.8379
2018-10-31,91.55481
2018-11-30,31.680223
2018-12-31,1.1167263
2019-01-31,-7.259891
2019-02-28,-7.9833155
2019-03-31,-7.448593
2019-04-30,-0.8549342
2019-05-31,25.663536
2019-06-30,81.05292
2019-07-31,148.3814
2019-08-31,189.45135
2019-09-30,177.50371
2019-10-31,118.53907
2019-11-30,51.865643
2019-12-31,9.913753
2020-01-31,-5.272389
2020-02-29,-7.814785
2020-03-31,-7.7175064
2020-04-30,-4.570196
2020-05-31,12.502951
2020-06-30,56.40932
2020-07-31,122.07793
2020-08-31,177.91296
2020-09-30,188.05492
2020-10-31,144.21686
2020-11-30,76.0723
2020-12-31,22.857212
