DATE,RAINFALL
2016-01-31,15.782357
2016-02-29,19.485563
2016-03-31,32.46415
2016-04-30,34.36231
2016-05-31,50.14907
2016-06-30,85.968216
2016-07-31,114.03527
2016-08-31,77.20995
2016-09-30,34.289825
2016-10-31,16.876642
2016-11-30,13.734215
2016-12-31,13.190454
2017-01-31,14.3927145
2017-02-28,16.180134
2017-03-31,22.935658
2017-04-30,35.660965
2017-05-31,58.87365
2017-06-30,86.77703
2017-07-31,96.64222
2017-08-31,69.61308
2017-09-30,39.29769
2017-10-31,24.1158
2017-11-30,17.756622
2017-12-31,14.982291
2018-01-31,14.302156
2018-02-28,15.985128
2018-03-31,22.505196
2018-04-30,36.607124
2018-05-31,58.689804
2018-06-30,80.65186
2018-07-31,85.709404
2018-08-31,66.49563
2018-09-30,42.85259
2018-10-31,27.614506
2018-11-30,19.560905
2018-12-31,15.940263
2019-01-31,15.055791
2019-02-28,16.901993
2019-03-31,23.373634
2019-04-30,36.779945
2019-05-31,56.443512
2019-06-30,74.75739
2019-07-31,79.04279
2019-08-31,64.90675
2019-09-30,44.848564
2019-10-31,29.662996
2019-11-30,20.959936
2019-12-31,16.992245
2020-01-31,16.041567
2020-02-29,17.927433
2020-03-31,24.151342
2020-04-30,36.50349
2020-05-31,54.026028
2020-06-30,70.12064
2020-07-31,74.6151
2020-08-31,63.70257
2020-09-30,45.97844
2020-10-31,31.18616
2020-11-30,22.265491
2020-12-31,18.06843
