DATE,RAINFALL
2016-01-31,68.21807
2016-02-29,60.07791
2016-03-31,86.28807
2016-04-30,157.87294
2016-05-31,241.21683
2016-06-30,385.73703
2016-07-31,356.25827
2016-08-31,323.99185
2016-09-30,323.04892
2016-10-31,274.19476
2016-11-30,193.73747
2016-12-31,127.12969
2017-01-31,98.85101
2017-02-28,85.89482
2017-03-31,99.740425
2017-04-30,146.41992
2017-05-31,220.73283
2017-06-30,307.74762
2017-07-31,335.43475
2017-08-31,339.33362
2017-09-30,318.77008
2017-10-31,262.64597
2017-11-30,200.0216
2017-12-31,151.12047
2018-01-31,119.41841
2018-02-28,103.26789
2018-03-31,109.25958
2018-04-30,142.26088
2018-05-31,200.86296
2018-06-30,269.99454
2018-07-31,316.33035
2018-08-31,331.42438
2018-09-30,309.5326
2018-10-31,261.409
2018-11-30,210.40883
2018-12-31,167.3533
2019-01-31,135.24513
2019-02-28,117.02048
2019-03-31,117.70848
2019-04-30,141.49603
2019-05-31,188.226
2019-06-30,247.38107
2019-07-31,296.39856
2019-08-31,316.286
2019-09-30,300.63007
2019-10-31,262.47034
2019-11-30,219.27904
2019-12-31,179.77502
2020-01-31,148.32642
2020-02-29,128.93164
2020-03-31,125.95357
2020-04-30,143.07515
2020-05-31,180.68951
2020-06-30,231.30763
2020-07-31,277.49997
2020-08-31,300.18076
2020-09-30,292.13873
2020-10-31,262.93332
2020-11-30,225.98679
2020-12-31,189.76707
