DATE,RAINFALL
2016-01-31,15.028126
2016-02-29,21.096207
2016-03-31,35.57204
2016-04-30,72.62148
2016-05-31,223.16934
2016-06-30,633.7713
2016-07-31,558.43054
2016-08-31,418.88007
2016-09-30,249.23268
2016-10-31,111.966705
2016-11-30,44.333534
2016-12-31,21.318726
2017-01-31,22.096506
2017-02-28,24.339907
2017-03-31,30.2559
2017-04-30,76.38926
2017-05-31,248.0319
2017-06-30,536.478
2017-07-31,554.4964
2017-08-31,430.14206
2017-09-30,258.18848
2017-10-31,127.994026
2017-11-30,57.689545
2017-12-31,30.252031
2018-01-31,25.652248
2018-02-28,27.292336
2018-03-31,33.740585
2018-04-30,77.23688
2018-05-31,231.80563
2018-06-30,468.4918
2018-07-31,537.02997
2018-08-31,433.70737
2018-09-30,270.4414
2018-10-31,143.88931
2018-11-30,69.87447
2018-12-31,37.403816
2019-01-31,29.506002
2019-02-28,31.087757
2019-03-31,38.770275
2019-04-30,77.67601
2019-05-31,209.23021
2019-06-30,416.66772
2019-07-31,512.6704
2019-08-31,433.94128
2019-09-30,283.4813
2019-10-31,159.51093
2019-11-30,82.00671
2019-12-31,44.94329
2020-01-31,34.017445
2020-02-29,35.051773
2020-03-31,43.403187
2020-04-30,77.97786
2020-05-31,188.99924
2020-06-30,373.88614
2020-07-31,484.7943
2020-08-31,431.472
2020-09-30,295.7454
2020-10-31,174.66534
2020-11-30,94.352806
2020-12-31,53.09696
