DATE,RAINFALL
2016-01-31,38.99745
2016-02-29,27.914324
2016-03-31,37.023167
2016-04-30,80.889275
2016-05-31,134.13971
2016-06-30,189.18103
2016-07-31,182.59445
2016-08-31,169.31499
2016-09-30,175.44202
2016-10-31,165.4147
2016-11-30,143.3681
2016-12-31,96.22604
2017-01-31,59.20865
2017-02-28,50.307938
2017-03-31,59.523357
2017-04-30,90.06695
2017-05-31,129.45084
2017-06-30,161.71333
2017-07-31,172.1145
2017-08-31,173.06926
2017-09-30,165.39143
2017-10-31,144.43004
2017-11-30,116.867615
2017-12-31,88.50157
2018-01-31,69.19834
2018-02-28,63.7366
2018-03-31,73.725174
2018-04-30,99.004166
2018-05-31,130.37973
2018-06-30,155.51761
2018-07-31,166.68419
2018-08-31,164.98468
2018-09-30,151.89369
2018-10-31,131.03564
2018-11-30,108.2544
2018-12-31,88.21675
2019-01-31,75.41451
2019-02-28,73.51975
2019-03-31,84.78174
2019-04-30,107.30617
2019-05-31,133.069
2019-06-30,152.39365
2019-07-31,159.6697
2019-08-31,154.956
2019-09-30,141.23628
2019-10-31,122.9489
2019-11-30,104.41079
2019-12-31,89.17875
2020-01-31,80.677605
2020-02-29,81.942795
2020-03-31,94.10164
2020-04-30,114.1311
2020-05-31,134.85858
2020-06-30,148.84438
2020-07-31,152.37737
2020-08-31,146.13576
2020-09-30,133.26378
2020-10-31,117.53823
2020-11-30,102.37528
2020-12-31,90.82982
