DATE,RAINFALL
2016-01-31,11.726465
2016-02-29,12.923735
2016-03-31,25.44003
2016-04-30,40.613487
2016-05-31,86.92565
2016-06-30,157.07068
2016-07-31,136.09988
2016-08-31,120.01434
2016-09-30,107.08456
2016-10-31,48.65556
2016-11-30,25.002832
2016-12-31,13.557429
2017-01-31,10.8749275
2017-02-28,12.502371
2017-03-31,25.080301
2017-04-30,53.839233
2017-05-31,104.76148
2017-06-30,154.63562
2017-07-31,151.5774
2017-08-31,127.404884
2017-09-30,88.72314
2017-10-31,47.3116
2017-11-30,25.711357
2017-12-31,13.907252
2018-01-31,9.413159
2018-02-28,12.194726
2018-03-31,27.115679
2018-04-30,61.451485
2018-05-31,115.05465
2018-06-30,160.3973
2018-07-31,158.83876
2018-08-31,123.994
2018-09-30,79.51991
2018-10-31,44.40208
2018-11-30,23.660793
2018-12-31,12.291199
2019-01-31,8.282593
2019-02-28,12.268642
2019-03-31,29.613035
2019-04-30,68.28055
2019-05-31,125.077354
2019-06-30,168.2029
2019-07-31,161.19789
2019-08-31,118.49162
2019-09-30,73.24306
2019-10-31,40.771763
2019-11-30,21.052338
2019-12-31,10.576681
2020-01-31,7.3936806
2020-02-29,12.61024
2020-03-31,32.5608
2020-04-30,75.63934
2020-05-31,135.65576
2020-06-30,175.68082
2020-07-31,160.71239
2020-08-31,112.614044
2020-09-30,67.79146
2020-10-31,37.00902
2020-11-30,18.507156
2020-12-31,9.031019
