DATE,RAINFALL
2016-01-31,2.4598348
2016-02-29,7.502458
2016-03-31,26.599543
2016-04-30,46.894913
2016-05-31,67.716866
2016-06-30,96.526794
2016-07-31,108.6824
2016-08-31,132.90448
2016-09-30,130.04498
2016-10-31,64.95898
2016-11-30,15.192835
2016-12-31,-4.319915
2017-01-31,-10.158862
2017-02-28,-2.178799
2017-03-31,17.895382
2017-04-30,44.774975
2017-05-31,77.34515
2017-06-30,112.90616
2017-07-31,142.42044
2017-08-31,158.04385
2017-09-30,136.70744
2017-10-31,71.96755
2017-11-30,12.024456
2017-12-31,-19.543407
2018-01-31,-26.53779
2018-02-28,-14.355784
2018-03-31,10.332196
2018-04-30,43.458076
2018-05-31,83.30366
2018-06-30,126.62199
2018-07-31,165.51988
2018-08-31,184.17079
2018-09-30,157.41942
2018-10-31,80.25515
2018-11-30,2.392284
2018-12-31,-38.25211
2019-01-31,-43.15086
2019-02-28,-25.858166
2019-03-31,3.4375775
2019-04-30,41.257362
2019-05-31,86.69217
2019-06-30,137.50949
2019-07-31,186.3199
2019-08-31,214.20026
2019-09-30,186.90791
2019-10-31,90.75147
2019-11-30,-9.220529
2019-12-31,-57.10355
2020-01-31,-58.405643
2020-02-29,-36.224094
2020-03-31,-3.3732607
2020-04-30,37.727364
2020-05-31,87.43903
2020-06-30,144.83275
2020-07-31,203.72922
2020-08-31,244.3301
2020-09-30,221.96692
2020-10-31,105.49239
2020-11-30,-18.495955
2020-12-31,-73.309814
