DATE,RAINFALL
2016-01-31,19.246647
2016-02-29,26.325008
2016-03-31,52.837986
2016-04-30,104.63879
2016-05-31,179.10553
2016-06-30,317.5712
2016-07-31,363.4867
2016-08-31,288.59982
2016-09-30,162.8729
2016-10-31,44.76473
2016-11-30,22.130247
2016-12-31,15.917749
2017-01-31,17.522156
2017-02-28,29.54833
2017-03-31,59.510136
2017-04-30,122.81021
2017-05-31,232.86679
2017-06-30,367.0623
2017-07-31,394.81763
2017-08-31,271.36234
2017-09-30,127.59186
2017-10-31,45.000786
2017-11-30,18.76772
2017-12-31,10.630753
2018-01-31,13.288615
2018-02-28,26.108175
2018-03-31,58.7179
2018-04-30,133.37277
2018-05-31,266.11234
2018-06-30,408.98123
2018-07-31,410.57413
2018-08-31,248.70956
2018-09-30,106.30879
2018-10-31,37.171146
2018-11-30,11.532971
2018-12-31,4.973001
2019-01-31,8.781665
2019-02-28,22.241179
2019-03-31,58.027714
2019-04-30,143.88062
2019-05-31,297.05127
2019-06-30,449.01935
2019-07-31,418.4719
2019-08-31,226.23666
2019-09-30,88.82843
2019-10-31,27.024475
2019-11-30,4.233554
2019-12-31,-0.12684096
2020-01-31,4.585785
2020-02-29,18.549103
2020-03-31,57.71213
2020-04-30,155.2897
2020-05-31,329.12122
2020-06-30,488.496
2020-07-31,420.5957
2020-08-31,203.96472
2020-09-30,72.72398
2020-10-31,16.970068
2020-11-30,-2.2972598
2020-12-31,-4.620447
