DATE,RAINFALL
2016-01-31,27.740788
2016-02-29,15.674675
2016-03-31,16.169018
2016-04-30,23.502203
2016-05-31,27.233744
2016-06-30,41.93459
2016-07-31,55.908993
2016-08-31,76.3079
2016-09-30,92.10032
2016-10-31,107.098114
2016-11-30,121.10832
2016-12-31,69.62367
2017-01-31,44.84222
2017-02-28,27.614862
2017-03-31,21.707558
2017-04-30,24.469011
2017-05-31,32.70412
2017-06-30,45.582134
2017-07-31,59.669327
2017-08-31,74.15303
2017-09-30,86.41908
2017-10-31,93.878395
2017-11-30,91.294815
2017-12-31,71.355125
2018-01-31,50.924133
2018-02-28,35.219887
2018-03-31,29.102913
2018-04-30,31.296045
2018-05-31,38.81771
2018-06-30,49.25537
2018-07-31,60.675934
2018-08-31,71.71911
2018-09-30,80.51212
2018-10-31,84.54777
2018-11-30,80.8992
2018-12-31,68.59302
2019-01-31,53.25548
2019-02-28,41.15424
2019-03-31,36.190197
2019-04-30,37.73467
2019-05-31,43.567463
2019-06-30,51.73167
2019-07-31,60.727528
2019-08-31,69.20292
2019-09-30,75.55278
2019-10-31,77.88765
2019-11-30,74.57572
2019-12-31,65.73197
2020-01-31,54.626793
2020-02-29,45.779587
2020-03-31,41.905003
2020-04-30,42.841854
2020-05-31,47.18982
2020-06-30,53.502632
2020-07-31,60.510998
2020-08-31,66.98106
2020-09-30,71.57202
2020-10-31,72.91915
2020-11-30,70.11688
2020-12-31,63.59689
