DATE,RAINFALL
2016-01-31,0.44594565
2016-02-29,2.0778103
2016-03-31,23.81236
2016-04-30,62.737858
2016-05-31,107.5763
2016-06-30,151.416
2016-07-31,150.02927
2016-08-31,171.02988
2016-09-30,162.10115
2016-10-31,116.49071
2016-11-30,76.07411
2016-12-31,17.175907
2017-01-31,0.9133367
2017-02-28,-0.43851757
2017-03-31,17.385406
2017-04-30,52.471367
2017-05-31,99.11222
2017-06-30,147.24986
2017-07-31,178.697
2017-08-31,192.52385
2017-09-30,166.99461
2017-10-31,115.306305
2017-11-30,63.348724
2017-12-31,19.095041
2018-01-31,-3.2388873
2018-02-28,-7.3139095
2018-03-31,9.230102
2018-04-30,45.608883
2018-05-31,97.80606
2018-06-30,155.75668
2018-07-31,200.06593
2018-08-31,209.95233
2018-09-30,174.98833
2018-10-31,117.21882
2018-11-30,61.017227
2018-12-31,16.641924
2019-01-31,-9.580843
2019-02-28,-15.352117
2019-03-31,1.4378924
2019-04-30,40.524837
2019-05-31,98.53454
2019-06-30,165.21611
2019-07-31,217.87251
2019-08-31,227.12401
2019-09-30,185.59903
2019-10-31,121.63481
2019-11-30,60.826927
2019-12-31,13.155761
2020-01-31,-16.033604
2020-02-29,-23.01358
2020-03-31,-5.709278
2020-04-30,35.81416
2020-05-31,98.66455
2020-06-30,172.8903
2020-07-31,233.58388
2020-08-31,244.79352
2020-09-30,197.97542
2020-10-31,127.47253
2020-11-30,61.64669
2020-12-31,10.24784
