DATE,RAINFALL
2016-01-31,31.433462
2016-02-29,31.309053
2016-03-31,46.506477
2016-04-30,61.35877
2016-05-31,51.11957
2016-06-30,45.88573
2016-07-31,60.32278
2016-08-31,82.3644
2016-09-30,103.1813
2016-10-31,132.49103
2016-11-30,175.23698
2016-12-31,130.62599
2017-01-31,64.627174
2017-02-28,51.755024
2017-03-31,46.5463
2017-04-30,42.7242
2017-05-31,40.55852
2017-06-30,50.08192
2017-07-31,67.69693
2017-08-31,87.14872
2017-09-30,108.26028
2017-10-31,132.08383
2017-11-30,150.2556
2017-12-31,129.36261
2018-01-31,84.8006
2018-02-28,58.076077
2018-03-31,40.559265
2018-04-30,34.48416
2018-05-31,39.73035
2018-06-30,53.558628
2018-07-31,70.29423
2018-08-31,88.092064
2018-09-30,107.93816
2018-10-31,129.27776
2018-11-30,144.177
2018-12-31,132.91296
2019-01-31,94.86322
2019-02-28,58.472
2019-03-31,35.90548
2019-04-30,31.766943
2019-05-31,40.500416
2019-06-30,54.76266
2019-07-31,70.47878
2019-08-31,87.49504
2019-09-30,106.8085
2019-10-31,127.72532
2019-11-30,143.26633
2019-12-31,136.39369
2020-01-31,99.588806
2020-02-29,57.545914
2020-03-31,33.42514
2020-04-30,30.989813
2020-05-31,40.75278
2020-06-30,54.656395
2020-07-31,69.88772
2020-08-31,86.682076
2020-09-30,105.939095
2020-10-31,127.08274
2020-11-30,143.68958
2020-12-31,139.02371
