DATE,RAINFALL
2016-01-31,18.07302
2016-02-29,18.927576
2016-03-31,34.332523
2016-04-30,43.679928
2016-05-31,81.67038
2016-06-30,155.38496
2016-07-31,210.5103
2016-08-31,138.51637
2016-09-30,45.376545
2016-10-31,10.658023
2016-11-30,2.1048882
2016-12-31,5.8088493
2017-01-31,9.872413
2017-02-28,9.945821
2017-03-31,15.32821
2017-04-30,41.47436
2017-05-31,105.28481
2017-06-30,189.17271
2017-07-31,227.08537
2017-08-31,148.00844
2017-09-30,53.586807
2017-10-31,8.034795
2017-11-30,-1.4768864
2017-12-31,4.3633633
2018-01-31,8.940552
2018-02-28,7.420531
2018-03-31,7.3996406
2018-04-30,35.940823
2018-05-31,113.04378
2018-06-30,204.85612
2018-07-31,243.5448
2018-08-31,160.1831
2018-09-30,56.693615
2018-10-31,4.3045535
2018-11-30,-4.017463
2018-12-31,4.3913746
2019-01-31,9.925853
2019-02-28,7.3784075
2019-03-31,3.9166946
2019-04-30,31.013302
2019-05-31,114.274635
2019-06-30,211.61732
2019-07-31,255.42006
2019-08-31,169.78818
2019-09-30,57.51551
2019-10-31,1.8026978
2019-11-30,-4.909543
2019-12-31,4.995505
2020-01-31,10.845164
2020-02-29,7.7904797
2020-03-31,2.4444792
2020-04-30,27.369427
2020-05-31,112.952065
2020-06-30,213.82457
2020-07-31,262.31107
2020-08-31,176.34497
2020-09-30,57.97653
2020-10-31,0.80281013
2020-11-30,-5.008822
2020-12-31,5.414585
