,dtname
0,MORBI
1,AHMADABAD
2,ANAND
3,DEVBHUMI DWARKA
4,JAMNAGAR
5,KACHCHH
6,BHAVNAGAR
7,BHARUCH
8,SURAT
9,NAVSARI
10,VALSAD
11,AGAR MALWA
12,AGRA
13,AJMER
14,ALAPPUZHA
15,ALIGARH
16,ALIRAJPUR
17,"ALMORA
"
18,ALWAR
19,AMBEDKAR NAGAR
20,AMETHI
21,AMROHA
22,ANUGUL
23,ANUPPUR
24,ARAVALLI
25,ASHOKNAGAR
26,AURAIYA
27,AZAMGARH
28,BUDAUN
29,BAGALKOTE
30,BAGESHWAR
31,BAGHPAT
32,BAHRAICH
33,BALAGHAT
34,BALANGIR
35,BALESHWAR
36,BALLARI
37,BALLIA
38,BALOD
39,BALODA BAZAR
40,BALRAMPUR
41,BALRAMPUR
42,BANAS KANTHA
43,BANDA
44,BANSWARA
45,BARA BANKI
46,BARGARH
47,BARAN
48,BAREILLY
49,BARMER
50,BARWANI
51,BASTAR
52,BASTI
53,BELAGAVI
54,BAMETARA
55,BENGALURU RURAL
56,BANGALORE
57,BETUL
58,BHADOHI
59,BHADRAK
60,BHARATPUR
61,BHILWARA
62,BHIND
63,BHOPAL
64,BIDAR
65,BIJAPUR
66,BIJNOR
67,BIKANER
68,BILASPUR
69,GAURELA-PENDRA-MARWAHI
70,BILASPUR
71,BISHNUPUR
72,BOKARO
73,BULANDSHAHR
74,BUNDI
75,BURHANPUR
76,CENTRAL
77,CHAMARAJANAGARA
78,CHAMBA
79,CHAMPAWAT
80,CHANDAULI
81,CHANDEL
82,CHANDIGARH
83,CHATRA
84,CHHATARPUR
85,CHHINDWARA
86,CHOTA UDAIPUR
87,CHIKKABALLAPURA
88,CHIKKAMAGALURU
89,CHITRADURGA
90,CHITRAKOOT
91,CHITTAURGARH
92,CHURACHANDPUR
93,CHURU
94,CUTTACK
95,DOHAD
96,DAKSHINA KANNADA
97,DAMAN
98,DAMOH
99,THE DANGS
100,DAKSHIN BASTAR DANTEWADA
101,DATIA
102,DAUSA
103,DAVANAGERE
104,DEHRADUN
105,DEOGARH
106,DEORIA
107,DEWAS
108,DHALAI
109,DHAMTARI
110,DHANBAD
111,DHAR
112,FAIZABAD
113,DEOGHAR
114,DHARWAD
115,DHENKANAL
116,DHAULPUR
117,TINSUKIA
118,DINDORI
119,DUMKA
120,DUNGARPUR
121,DURG
122,EAST
123,EAST DISTRICT
124,EAST GARO HILLS
125,EAST KHASI HILLS
126,EAST NIMAR
127,ERNAKULAM
128,ETAH
129,ETAWAH
130,FARRUKHABAD
131,FATEHPUR
132,FIROZABAD
133,GADAG
134,GAJAPATI
135,GANJAM
136,GARHWA
137,GARIABAND
138,GAUTAM BUDDHA NAGAR
139,GHAZIPUR
140,GHAZIABAD
141,GIR SOMNATH
142,GIRIDIH
143,GODDA
144,NAGAON
145,GOMATI
146,GONDA
147,GORAKHPUR
148,GUMLA
149,GUNA
150,GWALIOR
151,HAMIRPUR
152,HAMIRPUR
153,HANUMANGARH
154,HAPUR
155,HARDA
156,HARDOI
157,HARDWAR
158,HASSAN
159,HATHRAS
160,HAVERI
161,HAZARIBAGH
162,HOSHANGABAD
163,IDUKKI
164,IMPHAL WEST
165,INDORE
166,JABALPUR
167,JAGATSINGHAPUR
168,JAIPUR
169,JAISALMER
170,JAJAPUR
171,JALAUN
172,JALOR
173,JAMTARA
174,JANJGIR - CHAMPA
175,JASHPUR
176,JAUNPUR
177,JHABUA
178,JHALAWAR
179,JHANSI
180,JHARSUGUDA
181,JHUNJHUNUN
182,JODHPUR
183,JUNAGADH
184,KABEERDHAM
185,KALABURAGI
186,KALAHANDI
187,KAMRUP
188,KANDHAMAL
189,KANGRA
190,UTTAR BASTAR KANKER
191,KANNAUJ
192,KANNUR
193,KANPUR NAGAR
194,KANPUR DEHAT
195,KARAIKAL
196,KARAULI
197,KASARAGOD
198,KASGANJ
199,KATNI
200,KAUSHAMBI
201,KENDRAPARA
202,KENDUJHAR
203,KHERI
204,KHORDHA
205,KHOWAI
206,KHUNTI
207,GANGANAGAR
208,EAST JAINTIA HILLS
209,KODAGU
210,KODARMA
211,KOKRAJHAR
212,KOLAR
213,KOLLAM
214,KONDAGAON
215,KOPPAL
216,KORAPUT
217,KORBA
218,KORIYA
219,KOTA
220,KOTTAYAM
221,KOZHIKODE
222,KULLU
223,KUSHINAGAR
224,LAKSHADWEEP
225,LALITPUR
226,LATEHAR
227,LOHARDAGA
228,LUCKNOW
229,MAHASAMUND
230,MAHE
231,MAHISAGAR
232,MAHOBA
