Crop Name,Column Name,Correlation
RICE,Oct-Dec,0.34516398328557374
RICE,Mar-May,0.16886014092654916
RICE,Jun-Sep,-0.06700418517461844
RICE,Jan-Feb,-0.016691366986134937
WHEAT,Oct-Dec,-0.5825261640071743
WHEAT,Mar-May,-0.3671327922800965
WHEAT,Jun-Sep,-0.2801490542157811
WHEAT,Jan-Feb,0.029938144838207188
KHARIF SORGHUM,Mar-May,-0.3514239328228085
KHARIF SORGHUM,Jun-Sep,-0.25665466678335247
KHARIF SORGHUM,Jan-Feb,-0.2211332917912164
KHARIF SORGHUM,Oct-Dec,-0.039121731079671165
RABI SORGHUM,Oct-Dec,0.2455659045996463
RABI SORGHUM,Jan-Feb,-0.17221507890417082
RABI SORGHUM,Jun-Sep,-0.16704942660466154
RABI SORGHUM,Mar-May,-0.07193785909073672
SORGHUM,Mar-May,-0.3178574433047438
SORGHUM,Jun-Sep,-0.23373739863996665
SORGHUM,Jan-Feb,-0.20768644659329494
SORGHUM,Oct-Dec,0.04038458889953806
PEARL MILLET,Jun-Sep,-0.38643069991258433
PEARL MILLET,Mar-May,-0.34119837199618425
PEARL MILLET,Jan-Feb,-0.1666960866493136
PEARL MILLET,Oct-Dec,-0.03507770825322717
MAIZE,Oct-Dec,0.2841256541724131
MAIZE,Jun-Sep,-0.17814245351146157
MAIZE,Mar-May,0.08458341994201196
MAIZE,Jan-Feb,-0.01858792613978037
FINGER MILLET,Oct-Dec,0.41181984352641265
FINGER MILLET,Mar-May,0.11702471972788372
FINGER MILLET,Jun-Sep,-0.05328870355317891
FINGER MILLET,Jan-Feb,0.005114019022922849
BARLEY,Oct-Dec,-0.3782716745357123
BARLEY,Mar-May,-0.2629555776609923
BARLEY,Jun-Sep,-0.23486303295817246
BARLEY,Jan-Feb,0.16484299309064385
CHICKPEA,Mar-May,-0.3169422053788591
CHICKPEA,Oct-Dec,-0.2552116446489525
CHICKPEA,Jun-Sep,-0.17708186657550548
CHICKPEA,Jan-Feb,-0.17238029838703647
PIGEONPEA,Oct-Dec,-0.14404866202016148
PIGEONPEA,Jan-Feb,-0.11184687987486905
PIGEONPEA,Mar-May,-0.0766532297779591
PIGEONPEA,Jun-Sep,-0.00025416933352036015
MINOR PULSES,Jun-Sep,-0.07866264619187327
MINOR PULSES,Jan-Feb,0.05804418902386118
MINOR PULSES,Oct-Dec,-0.03085065941831985
MINOR PULSES,Mar-May,0.012563782746554052
GROUNDNUT,Jan-Feb,-0.28212383872322194
GROUNDNUT,Mar-May,-0.22364956949405307
GROUNDNUT,Oct-Dec,0.1275041795849633
GROUNDNUT,Jun-Sep,-0.07998218555453127
SESAMUM,Mar-May,0.17759509025153944
SESAMUM,Jan-Feb,-0.14903838759777635
SESAMUM,Jun-Sep,0.09082280912527768
SESAMUM,Oct-Dec,-0.023193004945432593
RAPESEED AND MUSTARD,Oct-Dec,-0.4586886943568495
RAPESEED AND MUSTARD,Mar-May,-0.2432356876957812
RAPESEED AND MUSTARD,Jun-Sep,-0.22312734139343596
RAPESEED AND MUSTARD,Jan-Feb,-0.03436232670023962
SAFFLOWER,Jan-Feb,-0.11114918083542537
SAFFLOWER,Oct-Dec,0.040772328645409445
SAFFLOWER,Jun-Sep,-0.02763047497910114
SAFFLOWER,Mar-May,0.02184935703982276
CASTOR,Jan-Feb,-0.261309019034409
CASTOR,Jun-Sep,-0.13121964649663012
CASTOR,Mar-May,-0.11805836025541876
CASTOR,Oct-Dec,-0.06587744479905107
LINSEED,Oct-Dec,-0.18178467644800678
LINSEED,Jan-Feb,-0.07471957719657707
LINSEED,Jun-Sep,0.047114243655456016
LINSEED,Mar-May,-0.02918973197957503
SUNFLOWER,Oct-Dec,0.15993854466570082
SUNFLOWER,Jun-Sep,-0.15821333675931012
SUNFLOWER,Jan-Feb,-0.12290756814820178
SUNFLOWER,Mar-May,0.000988144205323063
SOYABEAN,Mar-May,-0.22710060418295203
SOYABEAN,Oct-Dec,-0.15014385730430788
SOYABEAN,Jan-Feb,0.09145449159382779
SOYABEAN,Jun-Sep,-0.04243310419289828
OILSEEDS,Jan-Feb,-0.16796733108818823
OILSEEDS,Mar-May,-0.1294308975723925
OILSEEDS,Jun-Sep,-0.11744926487517285
OILSEEDS,Oct-Dec,0.04991140992748356
SUGARCANE,Jun-Sep,-0.23432776216961826
SUGARCANE,Jan-Feb,-0.22953986152903177
SUGARCANE,Oct-Dec,0.1008941423235446
SUGARCANE,Mar-May,-0.016315642726245652
COTTON,Jan-Feb,-0.2631103668457356
COTTON,Jun-Sep,-0.22418627273699962
COTTON,Mar-May,-0.19199840517740285
COTTON,Oct-Dec,0.07829468174473628
FRUITS,Oct-Dec,0.5237762797510944
FRUITS,Mar-May,0.19076122072456306
FRUITS,Jan-Feb,-0.1459537092345302
FRUITS,Jun-Sep,0.10178827297648334
VEGETABLES,Mar-May,0.2090939520525566
VEGETABLES,Oct-Dec,0.11448250551508601
VEGETABLES,Jun-Sep,0.11094342864956559
VEGETABLES,Jan-Feb,-0.08326954827433945
POTATOES,Mar-May,0.12108295924110088
POTATOES,Oct-Dec,-0.07489608745536044
POTATOES,Jun-Sep,0.04575735500384321
POTATOES,Jan-Feb,-0.010893402372875827
ONION,Jan-Feb,-0.11689474281931518
ONION,Jun-Sep,-0.10795321589220971
ONION,Mar-May,-0.053922219027949664
ONION,Oct-Dec,0.015109392533521537
FODDER,Jun-Sep,-0.18615481869266085
FODDER,Oct-Dec,-0.11996402984118439
FODDER,Mar-May,-0.10719169347198723
FODDER,Jan-Feb,-0.07002283365506053
